id,snapshot_time,departure_time,ship_name,route_name,direction,origin,route_type,operation_type,reason,status,license_route
1,2025-11-15 14:19,650,청산아일랜드호,완도-청산,역방향,청산,편도항로,정상,,완료,완도-청산
2,2025-11-15 14:19,700,섬사랑7호,완도-여서(청산2회),역방향,여서,편도항로,정상,,완료,여서-완도
3,2025-11-15 14:19,700,퀸청산호,완도-청산,정방향,완도,편도항로,정상,,완료,완도-청산
4,2025-11-15 14:19,710,섬사랑2호,완도-모도(순환),정방향,완도,순환항로,정상,,완료,완도-모도
5,2025-11-15 14:19,720,섬사랑5호,완도-덕우(황제),정방향,완도,순환항로,정상,,완료,완도-덕우
6,2025-11-15 14:19,830,청산아일랜드호,완도-청산,정방향,완도,편도항로,정상,,완료,완도-청산
7,2025-11-15 14:19,900,퀸청산호,완도-청산,역방향,청산,편도항로,정상,,완료,완도-청산
8,2025-11-15 14:19,1100,퀸청산호,완도-청산,정방향,완도,편도항로,정상,,완료,완도-청산
9,2025-11-15 14:19,1100,섬사랑2호,완도-모도(순환),정방향,완도,순환항로,정상,,완료,완도-모도
10,2025-11-15 14:19,1130,청산아일랜드호,완도-청산,역방향,청산,편도항로,정상,,완료,완도-청산
11,2025-11-15 14:19,1300,퀸청산호,완도-청산,역방향,청산,편도항로,정상,,완료,완도-청산
12,2025-11-15 14:19,1300,청산아일랜드호,완도-청산,정방향,완도,편도항로,정상,,완료,완도-청산
13,2025-11-15 14:19,1430,퀸청산호,완도-청산,정방향,완도,편도항로,정상,,출항전,완도-청산
14,2025-11-15 14:19,1450,섬사랑7호,완도-여서(청산1회),정방향,완도,편도항로,정상,,출항전,여서-완도
15,2025-11-15 14:19,1500,청산아일랜드호,완도-청산,역방향,청산,편도항로,정상,,출항전,완도-청산
16,2025-11-15 14:19,1500,섬사랑5호,완도-덕우(오후)2,정방향,완도,순환항로,정상,,출항전,완도-덕우
17,2025-11-15 14:19,1530,섬사랑2호,완도-모도(순환),정방향,완도,순환항로,정상,,출항전,완도-모도
18,2025-11-15 14:19,1700,퀸청산호,완도-청산,역방향,청산,편도항로,정상,,출항전,완도-청산
19,2025-11-15 14:19,1700,청산아일랜드호,완도-청산,정방향,완도,편도항로,정상,,출항전,완도-청산
20,2025-11-15 14:19,1801,슬로시티청산도호,완도-청산,정방향,완도,편도항로,비운,,출항전,완도-청산
21,2025-11-15 14:19,100,퀸제누비아,목포-제주,정방향,목포,편도항로,정상,,완료,목포-제주
22,2025-11-15 14:19,530,천사1호,목포-웅곡(복호포함),정방향,목포,편도항로,정상,,완료,목포-상태서리
23,2025-11-15 14:19,540,천사3호,목포-동리(입항-마진),정방향,목포,편도항로,정상,,완료,목포-상태동리
24,2025-11-15 14:19,550,도초카훼리,도초수치가산남강목포,역방향,비금‧도초,편도항로,정상,,완료,도초-목포
25,2025-11-15 14:19,600,엔젤,"목포-웅곡,상태서리",정방향,목포,순환항로,정상,,완료,목포-상태서리
26,2025-11-15 14:19,605,퍼스트엔젤,"목포-웅곡,상태서리",정방향,목포,순환항로,비운,선박검사,출항전,목포-상태서리
